patient,cell,candidate,u_front_speed_mm_per_day,u_front_width_mm,u_growth_efolds,u_chemo_kill_rate,u_rt_alpha,u_seed_peak_density,u_seed_sigma_mm,front_speed_mm_per_day,front_width_mm,growth_efolds,chemo_kill_rate,rt_alpha,seed_peak_density,seed_sigma_mm,resection_time,white_matter_diffusivity,rho,gaussian_seed_mass,gaussian_seed_diffusion_time,seed_enhancing_radius_mm,s,rho_T_r,ell_mm,log_kill_rt,log_kill_ct,log_kill_total,visibility_margin,r_core_mm,r_whole_mm,whole_core_ratio,R_over_lambda,fd_check
p10,compact_invisible,65,0.5472664628177881,0.27361901570111513,0.8479031063616276,0.3373725088313222,0.9579070936888456,0.7567443549633026,0.5852081421762705,0.09573141474684399,1.766455060856467,8.223205260031882,0.00029872685515647924,0.08000975857892556,0.902697741985321,2.564737593559523,303.47243037111224,0.08455262103125599,0.027097042225469506,239.8506897219597,3.2889394619087464,2.3180975089149847,1.4519121660055183,8.223205260031882,29.05184509608968,6.000731893419418,0.15841575652237536,6.159147649941793,-2.907502582885452,14.792662557919172,18.186919901807887,1.8583966369201268,10.295716151980647,False
p11,compact_invisible,79,0.1895902454853058,0.05089068505913019,0.7996175596490502,0.5235179606825113,0.7516163717955351,0.23881700169295073,0.8654629057273269,0.04484350069589533,1.1116264405100091,7.293437646056738,0.0008009410174478727,0.02682018820337592,0.6955268006771803,4.026545499825764,361.5943449441656,0.02492461052929312,0.020170220436337108,715.1242490590176,8.106534331083557,2.1887516887917364,3.6222109812163192,7.293437646056738,16.215156259135505,2.011514115253194,0.42474144864659913,2.436255563899793,-0.01582911153934008,16.271619545206917,18.802670593144587,1.5430012191067273,16.91455862143582,False
p12,compact_invisible,117,0.7865438759326935,0.24601553101092577,0.7198226936161518,0.5933156283572316,0.9896113537251949,0.8928489480167627,0.6352229006588459,0.15899578324927288,1.6679159535090289,5.981624568464659,0.0011593299675054674,0.09464450699142672,0.9571395792067051,2.779724491923195,125.49825966141643,0.13259580171106294,0.04766300811343975,323.7802386023474,3.863434125498832,2.6864842219600704,1.6665854691749296,5.981624568464659,19.95369409128753,7.098338024357004,0.6147961948892631,7.713134219246267,-1.9935732456334962,10.717037897398505,13.59710925825407,2.0422808378588053,8.152154927020108,False
p13,compact_invisible,175,0.24927622359246016,0.2592524914070964,0.9761327551677823,0.7911339914426208,0.7301447745412588,0.11393355298787355,0.4989676056429744,0.05089316690110664,1.714463837281685,11.30899893133477,0.0033066867049430047,0.02393619045219102,0.6455734211951494,2.2323556686956403,761.9439262369458,0.043627247108344265,0.014842298155964235,113.11120076394245,2.4917059157787795,0.8542037820510947,1.3020721814903269,11.30899893133477,38.777739407261365,1.7952142839143264,1.7535459798940178,3.548760263808344,-1.767684485092636,20.272150794325032,23.866234940761466,1.6317448491274322,13.920523968940538,False
p14,compact_invisible,177,0.6105767264962196,0.2853880301117897,0.614576724357903,0.5765886632725596,0.8321075486019254,0.423843739554286,0.7473772279918194,0.10948427710936816,1.8102188060875408,4.605106466319197,0.0010610059360844284,0.04108416202451427,0.7695374958217144,3.3296168776610005,152.28214588363116,0.09909524869713895,0.03024061973646118,447.38599124888924,5.543174276002495,2.3490206346644023,1.8393449821998937,4.605106466319197,16.6725006587327,3.0813121518385707,0.5626546630750756,3.643966814913646,-0.01509244653830466,9.614679436273937,12.554647115136595,2.226430298146656,6.935430718605329,False
p15,compact_invisible,179,0.27090929448604584,0.12713533267378807,0.7814788436517119,0.9071510573849082,0.39785891585052013,0.8098334688693285,0.935018208809197,0.05328188903041106,1.3026107139902792,6.9719989374742655,0.006114371157980643,0.004115809864763433,0.9239333875477314,4.503494964333612,340.89634129523114,0.03470277975632729,0.020451961763462312,1329.1056620714255,10.1407334468891,4.184666919130183,3.457283834660076,6.9719989374742655,18.16360102776564,0.3086857398572575,3.2424695534745833,3.5511552933318407,-1.0969198817163632,18.397158940861186,21.23988200306064,1.5388773867034737,16.30562513799433,False
p16,broad_visible,33,0.5053278803825378,0.48338704369962215,0.7014686344191432,0.1987199317663908,0.07730419654399157,0.03731702268123627,0.9387914519757032,0.08758639347607856,2.7323856699746387,5.714941576076878,0.0001432948321436437,0.0007530941592584182,0.6149268090724945,4.530927001618734,356.57192510111963,0.11965990320939862,0.016027458063211757,900.8540301349234,10.264649746998865,1.0044687245091444,1.658231138966846,5.714941576076878,31.230848934429478,0.056482061944381365,0.07598968371253832,0.1324717456569197,1.790823221928491,16.259889321317257,21.93085333561513,2.4536569112011994,8.02626568299148,True
p17,broad_visible,38,0.6428872318938375,0.779548249207437,0.8696272121742368,0.052122920751571655,0.22828769590705633,0.2851262530311942,0.2620290322229266,0.11724757646858872,5.0582724559917045,8.679313558026607,6.590318569175873e-05,0.0016759723146758823,0.7140505012124777,1.5245807566903125,748.8825616663048,0.2965350932914217,0.011589685756221452,39.85199179571171,1.1621732418352029,0.8994355484677453,0.30140344751188564,8.679313558026607,87.80466541496267,0.12569792360069115,0.03494865907896296,0.16064658267965412,1.23011570806692,16.205832234463852,28.687861098690288,5.547285169396455,5.671474075048783,False
p18,broad_visible,43,0.42407013289630413,0.40004204120486975,0.39828479941934347,0.10673091746866703,0.3532980065792799,0.7812766777351499,0.8500527301803231,0.07372469526072921,2.297597562312106,2.690428693652887,8.801588231097063e-05,0.0032502690686412087,0.9125106710940599,3.92790848270454,167.69204365647926,0.08469484005662714,0.016043866095187483,870.9472173255656,7.71423252425114,3.596858201838218,1.7095720099702005,2.690428693652887,12.363044816222832,0.24377018014809065,0.046675089104302604,0.2904452692523933,1.6348186621701046,7.586504132469354,10.788615406779277,2.875888463641334,4.695607091401392,False
p19,broad_visible,54,0.732838299125433,0.5304851308465004,0.6857187077403069,0.5158721385523677,0.37814733013510704,0.7726946761831641,0.7954534674063325,0.14188369961510178,3.013532016753416,5.4955956292426125,0.000769143313836317,0.0037076467857177497,0.9090778704732656,3.59747772521786,233.44687832047504,0.21378553572276676,0.02354109709575246,666.599876956674,6.470922991719334,3.279436311319791,1.1937745161551492,5.4955956292426125,33.122306759705495,0.2780735089288312,0.40787903006471354,0.6859525389935448,2.13897911249675,13.303731603292148,18.906091055031577,2.8700192639156445,6.273731604617154,False
