run_name,success,exit_code,wall_time_s,error,final_time,n_steps,growth_dt,growth_n_steps,treated_dt
r0013_AB-front_speed_mm_per_day,True,0,16.196,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0012_B,True,0,18.235,,228.00572243031905,2737,0.08330497713932009,1296,0.08330497713932007
r0012_AB-gaussian_seed_z_fraction,True,0,22.029,,272.47825167948935,3270,0.08332668247079185,1829,0.08332668247079185
r0013_AB-front_width_mm,True,0,17.615,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_AB-diffusivity_ratio,True,0,16.61,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_AB-rt_alpha,True,0,14.343,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_AB-seed_peak_density,True,0,12.572,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_AB-rt_alpha_beta_ratio,True,0,15.34,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_AB-resection_time,True,0,17.834,,303.1192636858582,3638,0.08332030337709131,2197,0.08332030337709131
r0013_AB-chemo_kill_rate,True,0,18.188,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_AB-seed_sigma_mm,True,0,12.418,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_AB-gaussian_seed_y_fraction,True,0,12.801,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_AB-gaussian_seed_x_fraction,True,0,17.304,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0013_B,True,0,18.063,,303.1192636858582,3638,0.08332030337709131,2197,0.08332030337709131
r0013_AB-gaussian_seed_z_fraction,True,0,18.965,,178.19121221886323,2140,0.08326692159759964,698,0.08326692159759964
r0014_AB-diffusivity_ratio,True,0,16.121,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_A,True,0,18.931,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_AB-front_width_mm,True,0,17.114,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_AB-resection_time,True,0,16.709,,165.2420265883084,1986,0.0832034373556437,543,0.0832034373556437
r0014_AB-chemo_kill_rate,True,0,18.549,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_AB-front_speed_mm_per_day,True,0,22.261,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_AB-rt_alpha_beta_ratio,True,0,15.112,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_AB-rt_alpha,True,0,18.88,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_AB-seed_peak_density,True,0,18.484,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_B,True,0,13.761,,165.2420265883084,1986,0.0832034373556437,543,0.0832034373556437
r0014_AB-seed_sigma_mm,True,0,20.402,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0015_A,True,0,15.29,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0014_AB-gaussian_seed_y_fraction,True,0,17.901,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_AB-gaussian_seed_z_fraction,True,0,17.574,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0014_AB-gaussian_seed_x_fraction,True,0,20.422,,279.67632426426303,3357,0.08331138643558625,1916,0.08331138643558625
r0015_AB-front_width_mm,True,0,14.905,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_AB-chemo_kill_rate,True,0,14.219,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
r0015_AB-resection_time,True,0,15.244,,238.84384269736702,2868,0.08327888518039296,1427,0.08327888518039296
r0015_AB-front_speed_mm_per_day,True,0,18.967,,204.00785859156812,2450,0.08326851371084414,1008,0.08326851371084414
