patient,cell,t_r_column,observation_set,split,name,resid7_frac,norm_T_r,n_rows
p02,young_weak,fixed_dt,e,day,pre,0.00040289263310827383,975.997197238631,844478
p02,young_weak,fixed_dt,e,day,d80,0.07858859596520916,0.04307182143500642,844478
p02,young_weak,fixed_dt,e,day,d120,0.09515372001082126,0.017499787374977996,844478
p02,young_weak,fixed_dt,f,region,core,0.00027664609665731363,324.66533249005147,15256
p02,young_weak,fixed_dt,f,region,rim,0.0005007013313893111,690.8327402621086,53878
p02,young_weak,fixed_dt,f,region,out_of_field,0.0037609791457156147,2.452466315603578,3389490
p02,young_weak,fixed_dt,f,day,pre,0.0004028926428765719,975.997197238631,844478
p02,young_weak,fixed_dt,f,day,d34,0.03855776407496694,1.5036045397863465,844478
p02,young_weak,fixed_dt,f,day,d55,0.1095635019062581,0.03156818224201128,844478
p02,young_weak,fixed_dt,f,day,d80,0.10113980040681657,0.04307182143500642,844478
p02,young_weak,fixed_dt,f,day,d120,0.15435891931800183,0.017499787374977996,844478
p03,young_weak,scaled_dt,a,region,core,2.5598679706152546e-15,111.26191309828445,2178
p03,young_weak,scaled_dt,a,region,rim,1.8844655992799298e-15,197.04693165013907,5260
p03,young_weak,scaled_dt,a,region,out_of_field,2.290736667524939e-14,0.000131047804695554,387704
p03,young_weak,scaled_dt,a,day,pre,1.8727384897557754e-15,282.6745720645085,467626
p03,young_weak,scaled_dt,b,region,core,0.03270741217114157,111.26191309828445,2178
p03,young_weak,scaled_dt,b,region,rim,0.029982815734608023,209.93750082593806,5664
p03,young_weak,scaled_dt,b,region,out_of_field,1.760443157505268,0.0005119897697909875,775408
p03,young_weak,scaled_dt,b,day,pre,0.024368245869596596,282.6745720645085,467626
p03,young_weak,scaled_dt,b,day,d120,0.06521982569514927,143.8755144070957,467626
p03,young_weak,scaled_dt,c,region,core,0.054751587465721716,111.26191309828445,2178
p03,young_weak,scaled_dt,c,region,rim,0.035311671488139795,209.93750082593806,5664
p03,young_weak,scaled_dt,c,region,out_of_field,0.346935457175412,0.000555409272474908,1163112
p03,young_weak,scaled_dt,c,day,pre,0.04084741042168451,282.6745720645085,467626
p03,young_weak,scaled_dt,c,day,d55,0.04400945500570533,33.139492975046274,467626
p03,young_weak,scaled_dt,c,day,d120,0.084903529331782,143.8755144070957,467626
p03,young_weak,scaled_dt,d,region,core,0.062124729305855865,111.26191309828445,2178
p03,young_weak,scaled_dt,d,region,rim,0.0366420036678993,238.4414596858273,7592
p03,young_weak,scaled_dt,d,region,out_of_field,0.2767504135501082,0.0005937467102307986,1550816
p03,young_weak,scaled_dt,d,day,pre,0.045578432556786175,282.6745720645085,467626
p03,young_weak,scaled_dt,d,day,d34,0.028198638142050866,172.5997279349335,467626
p03,young_weak,scaled_dt,d,day,d55,0.03604803966904099,33.139492975046274,467626
p03,young_weak,scaled_dt,d,day,d120,0.07687646955113411,143.8755144070957,467626
p03,young_weak,scaled_dt,e,region,core,0.059878725111843695,111.26191309828445,2178
p03,young_weak,scaled_dt,e,region,rim,0.038201626296880876,209.93750082593806,5664
p03,young_weak,scaled_dt,e,region,out_of_field,0.3276570336917062,0.0006034603732412082,1163112
