patient,cell,run,column,sign,variant,step,frame,n_steps,dt,dice_core,dice_edema,assd_core_mm,assd_edema_mm,rel_l2_log,rel_l2,max_abs_diff,mass,mass_out_of_field,ref_mass,ref_mass_out_of_field,qoi_mass,qoi_log10_mass,qoi_V_core,qoi_V_edema,qoi_log10_V_core,qoi_log10_V_edema,qoi_r95_core,qoi_r95_edema,qoi_centroid_drift,qoi_centroid_x_mm,qoi_centroid_y_mm,qoi_centroid_z_mm,qoi_R_g,qoi_anisotropy,qoi_log10_anisotropy,qoi_wm_fraction,qoi_n_core,qoi_n_edema,qoi_voxel_volume
p28,old_strong,log_k_ct_plus,log_k_ct,plus,,0.05,pre,2065,0.083250677030695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4682.760364930712,0.8784837637240609,4682.760364930712,0.8784837637240609,4682.76036496413,3.6705019338152653,2758.0,5648.0,3.4407517004791854,3.751971574736327,8.602325267042627,11.357816691600547,1.0605970663516981,131.95992534959882,103.09278841712036,91.0557700834923,9.730968408384612,1.2728285430666888,0.10476990576279273,0.39449586842097367,2758.0,5648.0,1.0
p28,old_strong,log_k_ct_plus,log_k_ct,plus,,0.05,d34,2065,0.083250677030695,,,,,0.0001331579279243702,0.006417596015737735,0.0005341581003818069,731.1202252834443,37.53874722204978,735.9435283821028,37.80129205726889,731.12022544385,2.8639887982350682,0.0,0.0,0.0,0.0,0.0,0.0,2.999725594262852,131.05660656571132,103.26043329517663,92.83558406113804,14.342838815435444,1.3026733085476006,0.11483551465016828,0.6050821509554246,0.0,0.0,1.0
p28,old_strong,log_k_ct_plus,log_k_ct,plus,,0.05,d55,2065,0.083250677030695,,,,,0.000309942024214502,0.013416230668293666,0.00019363997900562722,257.67562939339666,131.81576836462528,261.2140098326648,133.6601419634028,257.67563005165005,2.41107334662789,0.0,0.0,0.0,0.0,0.0,0.0,8.25674055967897,126.83193128319881,103.29335106926919,96.43263364093023,20.39122556060031,1.316849635339882,0.1195361878165214,0.6850557278097258,0.0,0.0,1.0
p28,old_strong,log_k_ct_plus,log_k_ct,plus,,0.05,d80,2065,0.083250677030695,,,,,0.0003662986524075999,0.012946699448355775,0.0009841590233477665,1718.2069223292913,811.5092073603367,1741.2094005190027,822.6315197151398,1718.2069268337473,3.235075465531546,0.0,0.0,0.0,0.0,0.0,0.0,8.280210171852394,126.80544373736129,103.28935635466699,96.44164098847045,20.787339005417206,1.308326763613473,0.1167162255716115,0.6816650169844981,0.0,0.0,1.0
p28,old_strong,log_k_ct_plus,log_k_ct,plus,,0.05,d120,2065,0.083250677030695,,0.9794660217195429,,0.16261792213937667,0.0006735511340064642,0.015166915409575451,0.005743021409298776,21425.146228045065,10596.28085677865,21780.52819564082,10785.133642541594,21425.146305235034,4.330923796258681,0.0,20654.0,0.0,4.315025199312605,0.0,27.586228448267445,8.219008917917705,126.63959325533517,103.24528217200499,96.22559103866124,22.190300840614878,1.317913076046455,0.11988676698160496,0.6785313272152099,0.0,20654.0,1.0
p28,old_strong,log_k_ct_minus,log_k_ct,minus,,0.05,pre,2065,0.083250677030695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4682.760364930712,0.8784837637240609,4682.760364930712,0.8784837637240609,4682.76036496413,3.6705019338152653,2758.0,5648.0,3.4407517004791854,3.751971574736327,8.602325267042627,11.357816691600547,1.0605970663516981,131.95992534959882,103.09278841712036,91.0557700834923,9.730968408384612,1.2728285430666888,0.10476990576279273,0.39449586842097367,2758.0,5648.0,1.0
p28,old_strong,log_k_ct_minus,log_k_ct,minus,,0.05,d34,2065,0.083250677030695,,,,,0.00012670055439518554,0.006141447275316131,0.0005109679731845895,740.5602338369607,38.05273452839551,735.9435283821028,37.80129205726889,740.5602339995664,2.8695603879480625,0.0,0.0,0.0,0.0,0.0,0.0,3.0004234967836236,131.05580750155093,103.26050621514712,92.83604975234806,14.34453578873081,1.302665792070771,0.11483300874649555,0.6051320903340486,0.0,0.0,1.0
p28,old_strong,log_k_ct_minus,log_k_ct,minus,,0.05,d55,2065,0.083250677030695,,,,,0.00029499177536972213,0.01292901227545602,0.00018667152503611464,264.6244772817384,135.4384234154552,261.2140098326648,133.6601419634028,264.6244779581708,2.4226300142674897,0.0,0.0,0.0,0.0,0.0,0.0,8.25974764557687,126.82939880088959,103.29340541967913,96.43445628379536,20.394101863535948,1.3168848918278084,0.11954781518290986,0.6851258310726476,0.0,0.0,1.0
p28,old_strong,log_k_ct_minus,log_k_ct,minus,,0.05,d80,2065,0.083250677030695,,,,,0.000348568668148348,0.01246535745110662,0.0009458047295852756,1763.3659021897918,833.3493961895769,1741.2094005190027,822.6315197151398,1763.3659068186475,3.2463424398226697,0.0,0.0,0.0,0.0,0.0,0.0,8.282807010701172,126.80277461348221,103.28938521209012,96.44282519220249,20.791763757473777,1.3083766560588628,0.11673278687814793,0.6817474933304511,0.0,0.0,1.0
p28,old_strong,log_k_ct_minus,log_k_ct,minus,,0.05,d120,2065,0.083250677030695,,0.9813712748249994,,0.15343955557652297,0.0006406142010498204,0.01458258475541246,0.005486317338737112,22122.855512017213,10967.372445117759,21780.52819564082,10785.133642541594,22122.85559254858,4.3448411844791,0.0,22337.0,0.0,4.349044286602036,0.0,27.820855486487112,8.21292320528235,126.63706047709614,103.24353415879044,96.2154387104245,22.217891272992624,1.3187004131646343,0.12014614225779596,0.6785302515857222,0.0,22337.0,1.0
p28,old_strong,peak_plus,peak,plus,,0.05,pre,2065,0.083250677030695,0.9869386294507068,0.988622440049011,0.09041468388851122,0.10069302894415003,0.0007182905643718147,0.016889048587309982,0.012964988176161096,4782.196448038315,0.9262430577944195,4682.760364930712,0.8784837637240609,4782.196448073577,3.679627412549717,2831.0,5778.0,3.4520932490177314,3.7618526944663833,8.660254037844387,11.445523142259598,1.0696887768469987,131.955889181915,103.09351167753033,91.06468017789652,9.774299227311426,1.273017303114432,0.10483430671417938,0.3965855259702658,2831.0,5778.0,1.0
p28,old_strong,peak_plus,peak,plus,,0.05,d34,2065,0.083250677030695,,,,,0.0009221517573998435,0.01885309598697635,0.0012652745443847216,753.9164626163847,39.742246664865334,735.9435283821028,37.80129205726889,753.9164627868296,2.877323226823864,0.0,0.0,0.0,0.0,0.0,0.0,3.008853724317313,131.03393478721603,103.26067784222339,92.8375985976809,14.391999025342923,1.3015273064860415,0.11445328418694,0.6058031366357591,0.0,0.0,1.0
p28,old_strong,peak_plus,peak,plus,,0.05,d55,2065,0.083250677030695,,,,,0.001078733386903621,0.03733933582985253,0.0007135237345518818,271.21967861248606,140.47287617746596,261.2140098326648,133.6601419634028,271.219679316836,2.433321198132477,0.0,0.0,0.0,0.0,0.0,0.0,8.324451608413918,126.768754787197,103.29307385759218,96.46874607774542,20.45898425125195,1.3179827874932297,0.1199097385239072,0.6862759235087226,0.0,0.0,1.0
